request_id,zone,breakdown_type,mechanic_id,proximity_km,specialization,spec_match,star_rating,available,jobs_completed,best_mechanic_selected
24,Kawempe,Transmission Issue,MECH_24_3,5.98,Transmission Specialist,1,3.4,1,158,0
24,Kawempe,Transmission Issue,MECH_24_4,3.29,Engine Specialist,0,4.2,0,68,0
24,Kawempe,Transmission Issue,MECH_24_5,6.32,Electrical Specialist,0,3.6,0,7,0
25,Nakawa,Flat Tyre,MECH_25_1,6.81,Tyre & Suspension,1,3.4,1,172,0
25,Nakawa,Flat Tyre,MECH_25_2,3.43,Brakes Specialist,0,4.5,1,207,1
25,Nakawa,Flat Tyre,MECH_25_3,1.73,Electrical Specialist,0,4.5,0,182,0
25,Nakawa,Flat Tyre,MECH_25_4,8.9,Electrical Specialist,0,3.4,1,39,0
25,Nakawa,Flat Tyre,MECH_25_5,8.8,Engine Specialist,0,4.6,1,15,0
26,Kawempe,Electrical Fault,MECH_26_1,9.87,Electrical Specialist,1,4.0,1,136,1
26,Kawempe,Electrical Fault,MECH_26_2,7.27,Electrical Specialist,1,3.9,1,108,0
26,Kawempe,Electrical Fault,MECH_26_3,9.1,Transmission Specialist,0,3.5,1,229,0
26,Kawempe,Electrical Fault,MECH_26_4,6.62,Engine Specialist,0,3.5,0,43,0
26,Kawempe,Electrical Fault,MECH_26_5,11.31,Electrical Specialist,1,3.7,1,196,0
27,Makindye,Transmission Issue,MECH_27_1,11.97,Transmission Specialist,1,4.4,1,159,0
27,Makindye,Transmission Issue,MECH_27_2,0.89,Transmission Specialist,1,4.5,1,127,1
27,Makindye,Transmission Issue,MECH_27_3,4.86,Transmission Specialist,1,4.2,1,19,0
27,Makindye,Transmission Issue,MECH_27_4,2.22,Tyre & Suspension,0,4.4,0,134,0
27,Makindye,Transmission Issue,MECH_27_5,7.38,Transmission Specialist,1,4.4,1,31,0
28,Nakawa,Brakes Failing,MECH_28_1,2.26,Brakes Specialist,1,4.0,1,221,1
28,Nakawa,Brakes Failing,MECH_28_2,8.85,Brakes Specialist,1,3.2,1,244,0
28,Nakawa,Brakes Failing,MECH_28_3,2.25,Brakes Specialist,1,4.2,1,55,0
28,Nakawa,Brakes Failing,MECH_28_4,11.25,Electrical Specialist,0,3.9,1,50,0
28,Nakawa,Brakes Failing,MECH_28_5,10.13,Brakes Specialist,1,3.6,1,119,0
29,Kawempe,Engine Stalled,MECH_29_1,9.06,Engine Specialist,1,4.6,1,158,1
29,Kawempe,Engine Stalled,MECH_29_2,11.08,Engine Specialist,1,3.7,1,166,0
29,Kawempe,Engine Stalled,MECH_29_3,7.25,Engine Specialist,1,4.8,1,186,0
29,Kawempe,Engine Stalled,MECH_29_4,11.02,Engine Specialist,1,4.2,1,154,0
29,Kawempe,Engine Stalled,MECH_29_5,2.95,Tyre & Suspension,0,5.0,0,109,0
30,Rubaga,Electrical Fault,MECH_30_1,2.62,Tyre & Suspension,0,3.6,1,226,1
30,Rubaga,Electrical Fault,MECH_30_2,2.86,Tyre & Suspension,0,3.1,1,34,0
30,Rubaga,Electrical Fault,MECH_30_3,7.26,Tyre & Suspension,0,4.4,1,246,0
30,Rubaga,Electrical Fault,MECH_30_4,6.94,Tyre & Suspension,0,3.4,0,161,0
30,Rubaga,Electrical Fault,MECH_30_5,9.16,Tyre & Suspension,0,4.8,1,166,0
31,Rubaga,Flat Tyre,MECH_31_1,10.47,Tyre & Suspension,1,4.1,1,71,1
31,Rubaga,Flat Tyre,MECH_31_2,2.55,Brakes Specialist,0,3.5,1,166,0
31,Rubaga,Flat Tyre,MECH_31_3,11.87,Brakes Specialist,0,4.6,1,148,0
31,Rubaga,Flat Tyre,MECH_31_4,3.87,Electrical Specialist,0,3.0,1,11,0
31,Rubaga,Flat Tyre,MECH_31_5,10.25,Engine Specialist,0,4.8,1,33,0
32,Nakawa,Brakes Failing,MECH_32_1,7.29,Tyre & Suspension,0,4.2,1,170,0
32,Nakawa,Brakes Failing,MECH_32_2,4.67,Electrical Specialist,0,3.4,1,90,0
32,Nakawa,Brakes Failing,MECH_32_3,11.83,Brakes Specialist,1,3.4,0,118,0
32,Nakawa,Brakes Failing,MECH_32_4,3.59,Brakes Specialist,1,4.3,1,107,1
32,Nakawa,Brakes Failing,MECH_32_5,7.92,Brakes Specialist,1,3.3,1,33,0
33,Kampala Central,Electrical Fault,MECH_33_1,7.99,Electrical Specialist,1,3.4,0,110,0
33,Kampala Central,Electrical Fault,MECH_33_2,3.53,Tyre & Suspension,0,4.5,1,102,0
33,Kampala Central,Electrical Fault,MECH_33_3,8.15,Tyre & Suspension,0,4.8,1,158,0
33,Kampala Central,Electrical Fault,MECH_33_4,4.57,Electrical Specialist,1,3.4,1,185,1
33,Kampala Central,Electrical Fault,MECH_33_5,3.32,Brakes Specialist,0,3.6,1,168,0
34,Nakawa,Electrical Fault,MECH_34_1,6.06,Tyre & Suspension,0,4.1,1,215,0
34,Nakawa,Electrical Fault,MECH_34_2,1.09,Transmission Specialist,0,4.2,1,230,0
34,Nakawa,Electrical Fault,MECH_34_3,4.54,Brakes Specialist,0,4.4,1,108,0
34,Nakawa,Electrical Fault,MECH_34_4,3.33,Electrical Specialist,1,4.6,1,176,1
34,Nakawa,Electrical Fault,MECH_34_5,11.56,Electrical Specialist,1,4.4,1,245,0
35,Makindye,Electrical Fault,MECH_35_1,9.23,Electrical Specialist,1,4.3,1,204,0
35,Makindye,Electrical Fault,MECH_35_2,11.86,Electrical Specialist,1,3.1,1,14,0
35,Makindye,Electrical Fault,MECH_35_3,11.99,Transmission Specialist,0,3.9,0,139,0
35,Makindye,Electrical Fault,MECH_35_4,8.52,Tyre & Suspension,0,4.8,1,246,1
35,Makindye,Electrical Fault,MECH_35_5,1.13,Transmission Specialist,0,4.0,0,107,0
36,Makindye,Transmission Issue,MECH_36_1,1.89,Engine Specialist,0,4.4,1,172,0
36,Makindye,Transmission Issue,MECH_36_2,5.15,Transmission Specialist,1,4.6,1,8,1
36,Makindye,Transmission Issue,MECH_36_3,10.69,Transmission Specialist,1,3.5,1,59,0
36,Makindye,Transmission Issue,MECH_36_4,11.89,Engine Specialist,0,3.4,1,22,0
36,Makindye,Transmission Issue,MECH_36_5,5.12,Transmission Specialist,1,4.3,1,188,0
37,Kampala Central,Flat Tyre,MECH_37_1,1.55,Tyre & Suspension,1,4.0,1,69,1
37,Kampala Central,Flat Tyre,MECH_37_2,3.8,Tyre & Suspension,1,3.5,1,157,0
37,Kampala Central,Flat Tyre,MECH_37_3,10.97,Engine Specialist,0,3.2,1,125,0
37,Kampala Central,Flat Tyre,MECH_37_4,11.36,Tyre & Suspension,1,4.2,1,157,0
37,Kampala Central,Flat Tyre,MECH_37_5,1.25,Tyre & Suspension,1,4.7,1,58,0
38,Nakawa,Engine Stalled,MECH_38_1,3.04,Engine Specialist,1,4.6,1,10,1
38,Nakawa,Engine Stalled,MECH_38_2,7.74,Engine Specialist,1,4.0,1,24,0
38,Nakawa,Engine Stalled,MECH_38_3,9.22,Brakes Specialist,0,3.3,1,164,0
38,Nakawa,Engine Stalled,MECH_38_4,7.66,Transmission Specialist,0,3.1,1,72,0
38,Nakawa,Engine Stalled,MECH_38_5,10.72,Electrical Specialist,0,4.7,1,13,0
39,Kampala Central,Electrical Fault,MECH_39_1,8.95,Tyre & Suspension,0,3.5,1,42,0
39,Kampala Central,Electrical Fault,MECH_39_2,1.43,Tyre & Suspension,0,4.4,1,201,0
39,Kampala Central,Electrical Fault,MECH_39_3,1.21,Electrical Specialist,1,4.0,1,119,1
39,Kampala Central,Electrical Fault,MECH_39_4,7.01,Tyre & Suspension,0,4.8,1,151,0
39,Kampala Central,Electrical Fault,MECH_39_5,3.32,Tyre & Suspension,0,3.3,1,17,0
40,Makindye,Transmission Issue,MECH_40_1,2.32,Electrical Specialist,0,4.7,1,247,0
40,Makindye,Transmission Issue,MECH_40_2,0.56,Transmission Specialist,1,3.5,1,43,1
40,Makindye,Transmission Issue,MECH_40_3,6.34,Engine Specialist,0,3.6,1,50,0
40,Makindye,Transmission Issue,MECH_40_4,6.94,Engine Specialist,0,3.8,1,196,0
40,Makindye,Transmission Issue,MECH_40_5,9.25,Transmission Specialist,1,4.9,1,67,0
41,Kawempe,Electrical Fault,MECH_41_1,9.57,Tyre & Suspension,0,4.5,1,72,0
41,Kawempe,Electrical Fault,MECH_41_2,7.19,Brakes Specialist,0,4.2,1,214,0
41,Kawempe,Electrical Fault,MECH_41_3,11.7,Electrical Specialist,1,4.5,1,231,1
41,Kawempe,Electrical Fault,MECH_41_4,9.95,Brakes Specialist,0,4.6,1,207,0
41,Kawempe,Electrical Fault,MECH_41_5,5.63,Tyre & Suspension,0,5.0,0,213,0
42,Kampala Central,Electrical Fault,MECH_42_1,8.48,Tyre & Suspension,0,3.2,1,210,0
42,Kampala Central,Electrical Fault,MECH_42_2,10.36,Electrical Specialist,1,4.5,1,201,0
42,Kampala Central,Electrical Fault,MECH_42_3,5.21,Electrical Specialist,1,3.5,1,193,1
42,Kampala Central,Electrical Fault,MECH_42_4,6.97,Transmission Specialist,0,4.1,1,64,0
42,Kampala Central,Electrical Fault,MECH_42_5,10.49,Electrical Specialist,1,4.5,1,178,0
43,Nakawa,Brakes Failing,MECH_43_1,2.63,Brakes Specialist,1,3.0,0,203,0
43,Nakawa,Brakes Failing,MECH_43_2,8.38,Brakes Specialist,1,3.4,0,192,0
43,Nakawa,Brakes Failing,MECH_43_3,7.19,Tyre & Suspension,0,4.6,1,143,0
43,Nakawa,Brakes Failing,MECH_43_4,2.22,Brakes Specialist,1,4.4,1,86,1
43,Nakawa,Brakes Failing,MECH_43_5,8.49,Electrical Specialist,0,4.6,1,140,0
44,Makindye,Engine Stalled,MECH_44_1,3.28,Electrical Specialist,0,3.3,1,84,0
44,Makindye,Engine Stalled,MECH_44_2,9.42,Electrical Specialist,0,3.1,0,229,0
44,Makindye,Engine Stalled,MECH_44_3,4.53,Engine Specialist,1,3.2,1,154,0
44,Makindye,Engine Stalled,MECH_44_4,11.74,Engine Specialist,1,4.4,1,147,1
44,Makindye,Engine Stalled,MECH_44_5,0.86,Electrical Specialist,0,3.1,1,164,0
45,Rubaga,Flat Tyre,MECH_45_1,7.69,Transmission Specialist,0,4.2,0,131,0
45,Rubaga,Flat Tyre,MECH_45_2,10.79,Tyre & Suspension,1,4.6,1,158,1
45,Rubaga,Flat Tyre,MECH_45_3,7.32,Brakes Specialist,0,4.0,1,247,0
45,Rubaga,Flat Tyre,MECH_45_4,11.72,Tyre & Suspension,1,3.4,1,123,0
45,Rubaga,Flat Tyre,MECH_45_5,6.17,Engine Specialist,0,3.8,0,193,0
46,Kampala Central,Transmission Issue,MECH_46_1,2.5,Electrical Specialist,0,3.8,1,28,0
46,Kampala Central,Transmission Issue,MECH_46_2,4.48,Brakes Specialist,0,5.0,1,156,1
46,Kampala Central,Transmission Issue,MECH_46_3,0.84,Brakes Specialist,0,4.2,1,83,0
46,Kampala Central,Transmission Issue,MECH_46_4,5.35,Tyre & Suspension,0,4.2,1,129,0
46,Kampala Central,Transmission Issue,MECH_46_5,8.93,Engine Specialist,0,4.4,1,244,0
47,Nakawa,Transmission Issue,MECH_47_1,4.79,Transmission Specialist,1,3.8,1,170,1
47,Nakawa,Transmission Issue,MECH_47_2,5.62,Transmission Specialist,1,3.7,0,134,0
47,Nakawa,Transmission Issue,MECH_47_3,8.0,Brakes Specialist,0,3.8,1,167,0
47,Nakawa,Transmission Issue,MECH_47_4,4.24,Transmission Specialist,1,3.3,1,49,0
47,Nakawa,Transmission Issue,MECH_47_5,5.58,Brakes Specialist,0,3.9,1,80,0
48,Kampala Central,Electrical Fault,MECH_48_1,3.36,Electrical Specialist,1,4.4,1,68,1
48,Kampala Central,Electrical Fault,MECH_48_2,4.6,Transmission Specialist,0,4.6,1,124,0
48,Kampala Central,Electrical Fault,MECH_48_3,7.23,Electrical Specialist,1,3.4,0,193,0
48,Kampala Central,Electrical Fault,MECH_48_4,11.85,Engine Specialist,0,3.5,0,30,0
48,Kampala Central,Electrical Fault,MECH_48_5,1.9,Transmission Specialist,0,4.9,0,73,0
49,Makindye,Transmission Issue,MECH_49_1,2.21,Electrical Specialist,0,4.9,0,47,0
49,Makindye,Transmission Issue,MECH_49_2,4.22,Electrical Specialist,0,4.2,1,188,1
49,Makindye,Transmission Issue,MECH_49_3,2.11,Engine Specialist,0,3.6,1,84,0
49,Makindye,Transmission Issue,MECH_49_4,8.93,Tyre & Suspension,0,3.4,1,12,0
49,Makindye,Transmission Issue,MECH_49_5,11.75,Brakes Specialist,0,3.0,1,214,0
50,Kampala Central,Transmission Issue,MECH_50_1,1.8,Transmission Specialist,1,4.8,1,5,1
50,Kampala Central,Transmission Issue,MECH_50_2,7.99,Engine Specialist,0,4.3,1,246,0
50,Kampala Central,Transmission Issue,MECH_50_3,4.16,Electrical Specialist,0,5.0,1,17,0
50,Kampala Central,Transmission Issue,MECH_50_4,10.6,Brakes Specialist,0,3.7,1,106,0
50,Kampala Central,Transmission Issue,MECH_50_5,10.87,Electrical Specialist,0,3.6,1,113,0
51,Kampala Central,Electrical Fault,MECH_51_1,4.23,Brakes Specialist,0,3.8,1,153,0
51,Kampala Central,Electrical Fault,MECH_51_2,6.81,Transmission Specialist,0,4.1,1,39,0
51,Kampala Central,Electrical Fault,MECH_51_3,8.18,Electrical Specialist,1,3.9,1,7,1
51,Kampala Central,Electrical Fault,MECH_51_4,11.44,Electrical Specialist,1,4.8,1,225,0
51,Kampala Central,Electrical Fault,MECH_51_5,7.17,Transmission Specialist,0,4.2,1,180,0
52,Nakawa,Transmission Issue,MECH_52_1,11.49,Engine Specialist,0,3.4,1,84,0
52,Nakawa,Transmission Issue,MECH_52_2,11.16,Engine Specialist,0,4.9,1,218,0
52,Nakawa,Transmission Issue,MECH_52_3,2.41,Transmission Specialist,1,4.0,1,242,0
52,Nakawa,Transmission Issue,MECH_52_4,4.08,Transmission Specialist,1,4.4,1,181,1
52,Nakawa,Transmission Issue,MECH_52_5,9.97,Transmission Specialist,1,3.2,1,112,0
53,Kampala Central,Flat Tyre,MECH_53_1,2.63,Electrical Specialist,0,3.8,1,122,0
53,Kampala Central,Flat Tyre,MECH_53_2,6.83,Engine Specialist,0,4.3,0,127,0
53,Kampala Central,Flat Tyre,MECH_53_3,7.84,Tyre & Suspension,1,4.2,1,30,0
53,Kampala Central,Flat Tyre,MECH_53_4,10.16,Electrical Specialist,0,3.7,1,158,0
53,Kampala Central,Flat Tyre,MECH_53_5,3.97,Transmission Specialist,0,4.7,1,171,1
54,Kampala Central,Flat Tyre,MECH_54_1,2.26,Tyre & Suspension,1,4.7,1,165,1
54,Kampala Central,Flat Tyre,MECH_54_2,1.6,Engine Specialist,0,4.3,1,224,0
54,Kampala Central,Flat Tyre,MECH_54_3,7.77,Engine Specialist,0,3.3,0,68,0
54,Kampala Central,Flat Tyre,MECH_54_4,8.49,Tyre & Suspension,1,3.9,1,171,0
54,Kampala Central,Flat Tyre,MECH_54_5,0.68,Tyre & Suspension,1,4.6,1,72,0
55,Rubaga,Electrical Fault,MECH_55_1,10.78,Tyre & Suspension,0,3.6,1,127,0
55,Rubaga,Electrical Fault,MECH_55_2,7.6,Brakes Specialist,0,4.7,1,192,0
55,Rubaga,Electrical Fault,MECH_55_3,10.62,Electrical Specialist,1,4.1,1,129,0
55,Rubaga,Electrical Fault,MECH_55_4,2.69,Engine Specialist,0,3.8,1,106,0
55,Rubaga,Electrical Fault,MECH_55_5,1.19,Transmission Specialist,0,4.9,1,81,1
56,Kampala Central,Flat Tyre,MECH_56_1,1.61,Tyre & Suspension,1,4.5,1,149,0
56,Kampala Central,Flat Tyre,MECH_56_2,4.9,Engine Specialist,0,4.9,1,122,0
56,Kampala Central,Flat Tyre,MECH_56_3,11.16,Tyre & Suspension,1,4.7,0,153,0
56,Kampala Central,Flat Tyre,MECH_56_4,3.46,Transmission Specialist,0,4.7,1,249,0
56,Kampala Central,Flat Tyre,MECH_56_5,0.92,Tyre & Suspension,1,3.5,1,70,1
57,Nakawa,Brakes Failing,MECH_57_1,3.25,Brakes Specialist,1,4.7,1,194,1
57,Nakawa,Brakes Failing,MECH_57_2,11.07,Brakes Specialist,1,5.0,1,105,0
